gene_symbol,gene_id_base,cohort,hpa_liver_ntpm,rna_liver_primary,hpa_log10,ag_log10
ATF7-NPFF,ENSG00000267281,,0.1,0.0225738580520122,-0.6989700043360187,-1.6444745765588633
ENSG00000267318,ENSG00000267318,,9.8,0.0444554488857338,0.99563519459755,-1.3510991765586284
ENSG00000267335,ENSG00000267335,,0.0,1.9050314706719593e-06,-1.0,-3.991804372558803
ENSG00000267360,ENSG00000267360,,0.0,0.0259667887326569,-1.0,-1.583912467933656
UPK3BL1,ENSG00000267368,,51.7,0.0071092240265942,1.7143297597452332,-2.142111478568274
APOC4,ENSG00000267467,top500,585.9,0.387814314496683,2.767897616018091,-0.4112641941245701
ZNF285,ENSG00000267508,,0.6,0.0009640120163698,-0.1549019599857432,-2.973053467328914
S1PR2,ENSG00000267534,middle500,5.2,0.0039229669186004,0.724275869600789,-2.395453538676158
ENSG00000267561,ENSG00000267561,,1.5,0.0463897987913412,0.2041199826559248,-1.3326423334469264
ENSG00000267618,ENSG00000267618,,0.1,0.0311729889091871,-0.6989700043360187,-1.504830609171724
CGB1,ENSG00000267631,bottom500,0.0,1.606305199029538e-06,-1.0,-3.993079340987328
FDX2,ENSG00000267673,,27.2,0.2638075278022433,1.436162647040756,-0.5785482216164508
ZNF224,ENSG00000267680,,12.0,0.0979002416953239,1.08278537031645,-1.0087728532175455
EDDM13,ENSG00000267710,,0.0,0.0034266359123956,-1.0,-2.452639374298886
ENSG00000267740,ENSG00000267740,,2.2,0.462979717124733,0.3617278360175929,-0.3343442406725157
ENSG00000267748,ENSG00000267748,,0.2,0.2561843269498787,-0.5228787452803375,-0.5912779522523938
SMIM22,ENSG00000267795,,1.1,0.0689242350718587,0.0791812460476248,-1.1609983975233469
LIN37,ENSG00000267796,,13.1,0.2306175411894631,1.1205739312058498,-0.6369193853133798
NDUFA7,ENSG00000267855,,83.8,0.3294088753284955,1.9237619608287,-0.4821328831814141
ENSG00000267881,ENSG00000267881,,0.0,0.0001878065505496,-1.0,-3.5408993256351
CCDC177,ENSG00000267909,,0.3,0.0001021015502734,-0.3979400086720376,-3.694430355101219
ENSG00000267952,ENSG00000267952,,0.5,0.0004203483600212,-0.2218487496163564,-3.2837058098634113
MAGEA9B,ENSG00000267978,,0.0,4.046766454195839e-05,-1.0,-3.852423638230257
SSX4,ENSG00000268009,,0.0,3.031837480368754e-07,-1.0,-3.9986852817127834
ERFL,ENSG00000268041,,0.1,0.0001165100019436,-0.6989700043360187,-3.6645220360839232
NBPF12,ENSG00000268043,,15.5,0.0397055743020553,1.1931245983544616,-1.4000561058382044
ENSG00000268083,ENSG00000268083,,0.2,0.7422804002571949,-0.5228787452803375,-0.1293735025388042
GABRQ,ENSG00000268089,,0.0,0.0011168499909291,-1.0,-2.914762956796377
SLC6A14,ENSG00000268104,,0.0,0.0039445576644793,-1.0,-2.3931289683360566
ENSG00000268133,ENSG00000268133,,0.0,0.0706549583670671,-1.0,-1.150243120241806
ENSG00000268163,ENSG00000268163,,0.0,0.0203926871462199,-1.0,-1.6884010900976565
SMIM17,ENSG00000268182,,0.2,0.0001242719401342,-0.5228787452803375,-3.6492250599310374
OPN1MW,ENSG00000268221,,0.0,2.396749039059923e-06,-1.0,-3.989713831414968
ARL14EPL,ENSG00000268223,bottom500,0.0,0.0003520357814461,-1.0,-3.344827186716166
TCP11X1,ENSG00000268235,,0.0,1.2697930596382457e-06,-1.0,-3.9945200774813374
FAM156A,ENSG00000268350,,34.0,0.0139440186604747,1.5327543789924978,-1.852508602153439
ENSG00000268361,ENSG00000268361,,0.0,0.1293236831719702,-1.0,-0.8879862450755351
